Name,String,MinimumCycles
IsPrefixOfStringInTable_11,$DATA,23940
IsPrefixOfStringInTable_12,$DATA,24704
IsPrefixOfStringInTable_13,$DATA,21454
IsPrefixOfStringInTable_14,$DATA,21986
IsPrefixOfStringInTable_x64_1,$DATA,7526
IsPrefixOfStringInTable_x64_2,$DATA,34596
IsPrefixOfStringInTable_x64_3,$DATA,66494
IsPrefixOfStringInTable_x64_4,$DATA,34518
IsPrefixOfStringInTable_x64_5,$DATA,34404
IntegerDivision_x64_1,$DATA,95314
IsPrefixOfCStrInArray,????,67988
IsPrefixOfStringInTable_1,????,48998
IsPrefixOfStringInTable_2,????,22040
IsPrefixOfStringInTable_3,????,21612
IsPrefixOfStringInTable_4,????,22976
IsPrefixOfStringInTable_5,????,65326
IsPrefixOfStringInTable_6,????,19956
IsPrefixOfStringInTable_7,????,19552
IsPrefixOfStringInTable_8,????,19374
IsPrefixOfStringInTable_9,????,19130
IsPrefixOfStringInTable_10,????,18778
IsPrefixOfStringInTable_11,????,18164
IsPrefixOfStringInTable_12,????,19066
IsPrefixOfStringInTable_13,????,16632
IsPrefixOfStringInTable_14,????,17130
IsPrefixOfStringInTable_x64_1,????,7526
IsPrefixOfStringInTable_x64_2,????,24766
IsPrefixOfStringInTable_x64_3,????,60002
IsPrefixOfStringInTable_x64_4,????,23956
IsPrefixOfStringInTable_x64_5,????,23790
IntegerDivision_x64_1,????,95326
IsPrefixOfCStrInArray,.,64984
IsPrefixOfStringInTable_1,.,44004
IsPrefixOfStringInTable_2,.,22104
IsPrefixOfStringInTable_3,.,21630
IsPrefixOfStringInTable_4,.,22972
IsPrefixOfStringInTable_5,.,65324
IsPrefixOfStringInTable_6,.,19950
IsPrefixOfStringInTable_7,.,19564
IsPrefixOfStringInTable_8,.,19372
IsPrefixOfStringInTable_9,.,19138
IsPrefixOfStringInTable_10,.,18786
IsPrefixOfStringInTable_11,.,18072
IsPrefixOfStringInTable_12,.,19076
IsPrefixOfStringInTable_13,.,16606
IsPrefixOfStringInTable_14,.,17120
IsPrefixOfStringInTable_x64_1,.,7526
IsPrefixOfStringInTable_x64_2,.,24762
IsPrefixOfStringInTable_x64_3,.,59996
IsPrefixOfStringInTable_x64_4,.,23940
IsPrefixOfStringInTable_x64_5,.,23788
IntegerDivision_x64_1,.,95312
IsPrefixOfCStrInArray,$Bai123456789012,168894
IsPrefixOfStringInTable_1,$Bai123456789012,138886
IsPrefixOfStringInTable_2,$Bai123456789012,37812
IsPrefixOfStringInTable_3,$Bai123456789012,34160
IsPrefixOfStringInTable_4,$Bai123456789012,37678
IsPrefixOfStringInTable_5,$Bai123456789012,68174
IsPrefixOfStringInTable_6,$Bai123456789012,35246
IsPrefixOfStringInTable_7,$Bai123456789012,34004
IsPrefixOfStringInTable_8,$Bai123456789012,33102
IsPrefixOfStringInTable_9,$Bai123456789012,31798
IsPrefixOfStringInTable_10,$Bai123456789012,31756
IsPrefixOfStringInTable_11,$Bai123456789012,31620
IsPrefixOfStringInTable_12,$Bai123456789012,32230
IsPrefixOfStringInTable_13,$Bai123456789012,26682
IsPrefixOfStringInTable_14,$Bai123456789012,27066
IsPrefixOfStringInTable_x64_1,$Bai123456789012,7526
IsPrefixOfStringInTable_x64_2,$Bai123456789012,48042
IsPrefixOfStringInTable_x64_3,$Bai123456789012,72492
IsPrefixOfStringInTable_x64_4,$Bai123456789012,47768
IsPrefixOfStringInTable_x64_5,$Bai123456789012,47000
IntegerDivision_x64_1,$Bai123456789012,95318
IsPrefixOfCStrInArray,a,63986
IsPrefixOfStringInTable_1,a,44004
IsPrefixOfStringInTable_2,a,18020
IsPrefixOfStringInTable_3,a,17064
IsPrefixOfStringInTable_4,a,19040
IsPrefixOfStringInTable_5,a,43010
IsPrefixOfStringInTable_6,a,15164
IsPrefixOfStringInTable_7,a,14496
IsPrefixOfStringInTable_8,a,14058
IsPrefixOfStringInTable_9,a,11044
IsPrefixOfStringInTable_10,a,11526
IsPrefixOfStringInTable_11,a,11046
IsPrefixOfStringInTable_12,a,11100
IsPrefixOfStringInTable_13,a,11028
IsPrefixOfStringInTable_14,a,10878
IsPrefixOfStringInTable_x64_1,a,7526
IsPrefixOfStringInTable_x64_2,a,8028
IsPrefixOfStringInTable_x64_3,a,36190
IsPrefixOfStringInTable_x64_4,a,7046
IsPrefixOfStringInTable_x64_5,a,7028
IntegerDivision_x64_1,a,95320
IsPrefixOfCStrInArray,ab,64006
IsPrefixOfStringInTable_1,ab,44004
IsPrefixOfStringInTable_2,ab,18042
IsPrefixOfStringInTable_3,ab,17044
IsPrefixOfStringInTable_4,ab,19040
IsPrefixOfStringInTable_5,ab,43014
IsPrefixOfStringInTable_6,ab,15116
IsPrefixOfStringInTable_7,ab,14790
IsPrefixOfStringInTable_8,ab,14054
IsPrefixOfStringInTable_9,ab,11066
IsPrefixOfStringInTable_10,ab,11550
IsPrefixOfStringInTable_11,ab,11064
IsPrefixOfStringInTable_12,ab,11122
IsPrefixOfStringInTable_13,ab,11030
IsPrefixOfStringInTable_14,ab,10876
IsPrefixOfStringInTable_x64_1,ab,7524
IsPrefixOfStringInTable_x64_2,ab,8026
IsPrefixOfStringInTable_x64_3,ab,36192
IsPrefixOfStringInTable_x64_4,ab,7048
IsPrefixOfStringInTable_x64_5,ab,7030
IntegerDivision_x64_1,ab,95318
IsPrefixOfCStrInArray,abc,63994
IsPrefixOfStringInTable_1,abc,44004
IsPrefixOfStringInTable_2,abc,18020
IsPrefixOfStringInTable_3,abc,17044
IsPrefixOfStringInTable_4,abc,19032
IsPrefixOfStringInTable_5,abc,43008
IsPrefixOfStringInTable_6,abc,15160
IsPrefixOfStringInTable_7,abc,14374
IsPrefixOfStringInTable_8,abc,14098
IsPrefixOfStringInTable_9,abc,11066
IsPrefixOfStringInTable_10,abc,11528
IsPrefixOfStringInTable_11,abc,11048
IsPrefixOfStringInTable_12,abc,11134
IsPrefixOfStringInTable_13,abc,11030
IsPrefixOfStringInTable_14,abc,10882
IsPrefixOfStringInTable_x64_1,abc,7526
IsPrefixOfStringInTable_x64_2,abc,8026
IsPrefixOfStringInTable_x64_3,abc,36196
IsPrefixOfStringInTable_x64_4,abc,7046
IsPrefixOfStringInTable_x64_5,abc,7030
IntegerDivision_x64_1,abc,95320
IsPrefixOfCStrInArray,fox1,63996
IsPrefixOfStringInTable_1,fox1,49996
IsPrefixOfStringInTable_2,fox1,18022
IsPrefixOfStringInTable_3,fox1,17038
IsPrefixOfStringInTable_4,fox1,19038
IsPrefixOfStringInTable_5,fox1,43010
IsPrefixOfStringInTable_6,fox1,15098
IsPrefixOfStringInTable_7,fox1,14380
IsPrefixOfStringInTable_8,fox1,14054
IsPrefixOfStringInTable_9,fox1,11068
IsPrefixOfStringInTable_10,fox1,11526
IsPrefixOfStringInTable_11,fox1,11044
IsPrefixOfStringInTable_12,fox1,11106
IsPrefixOfStringInTable_13,fox1,11032
IsPrefixOfStringInTable_14,fox1,10896
IsPrefixOfStringInTable_x64_1,fox1,7528
IsPrefixOfStringInTable_x64_2,fox1,8026
IsPrefixOfStringInTable_x64_3,fox1,36188
IsPrefixOfStringInTable_x64_4,fox1,7046
IsPrefixOfStringInTable_x64_5,fox1,7030
IntegerDivision_x64_1,fox1,95338
IsPrefixOfCStrInArray,abcd,63990
IsPrefixOfStringInTable_1,abcd,49992
IsPrefixOfStringInTable_2,abcd,18044
IsPrefixOfStringInTable_3,abcd,17042
IsPrefixOfStringInTable_4,abcd,19042
IsPrefixOfStringInTable_5,abcd,43010
IsPrefixOfStringInTable_6,abcd,15184
IsPrefixOfStringInTable_7,abcd,14772
IsPrefixOfStringInTable_8,abcd,14094
IsPrefixOfStringInTable_9,abcd,11048
IsPrefixOfStringInTable_10,abcd,11528
IsPrefixOfStringInTable_11,abcd,11046
IsPrefixOfStringInTable_12,abcd,11094
IsPrefixOfStringInTable_13,abcd,11028
IsPrefixOfStringInTable_14,abcd,10890
IsPrefixOfStringInTable_x64_1,abcd,7526
IsPrefixOfStringInTable_x64_2,abcd,8026
IsPrefixOfStringInTable_x64_3,abcd,36190
IsPrefixOfStringInTable_x64_4,abcd,7046
IsPrefixOfStringInTable_x64_5,abcd,7028
IntegerDivision_x64_1,abcd,95324
IsPrefixOfCStrInArray,abcdefghijkl,63990
IsPrefixOfStringInTable_1,abcdefghijkl,85950
IsPrefixOfStringInTable_2,abcdefghijkl,18040
IsPrefixOfStringInTable_3,abcdefghijkl,17044
IsPrefixOfStringInTable_4,abcdefghijkl,19042
IsPrefixOfStringInTable_5,abcdefghijkl,43010
IsPrefixOfStringInTable_6,abcdefghijkl,15176
IsPrefixOfStringInTable_7,abcdefghijkl,14356
IsPrefixOfStringInTable_8,abcdefghijkl,14104
IsPrefixOfStringInTable_9,abcdefghijkl,11058
IsPrefixOfStringInTable_10,abcdefghijkl,11528
IsPrefixOfStringInTable_11,abcdefghijkl,11046
IsPrefixOfStringInTable_12,abcdefghijkl,11106
IsPrefixOfStringInTable_13,abcdefghijkl,11028
IsPrefixOfStringInTable_14,abcdefghijkl,10892
IsPrefixOfStringInTable_x64_1,abcdefghijkl,7528
IsPrefixOfStringInTable_x64_2,abcdefghijkl,8024
IsPrefixOfStringInTable_x64_3,abcdefghijkl,36188
IsPrefixOfStringInTable_x64_4,abcdefghijkl,7046
IsPrefixOfStringInTable_x64_5,abcdefghijkl,7030
IntegerDivision_x64_1,abcdefghijkl,95312
IsPrefixOfCStrInArray,abcdefghijklmnopqr,63992
IsPrefixOfStringInTable_1,abcdefghijklmnopqr,89000
IsPrefixOfStringInTable_2,abcdefghijklmnopqr,18052
IsPrefixOfStringInTable_3,abcdefghijklmnopqr,17038
IsPrefixOfStringInTable_4,abcdefghijklmnopqr,19038
IsPrefixOfStringInTable_5,abcdefghijklmnopqr,40532
IsPrefixOfStringInTable_6,abcdefghijklmnopqr,15094
IsPrefixOfStringInTable_7,abcdefghijklmnopqr,14346
IsPrefixOfStringInTable_8,abcdefghijklmnopqr,14078
IsPrefixOfStringInTable_9,abcdefghijklmnopqr,11068
IsPrefixOfStringInTable_10,abcdefghijklmnopqr,11528
IsPrefixOfStringInTable_11,abcdefghijklmnopqr,11066
IsPrefixOfStringInTable_12,abcdefghijklmnopqr,11102
IsPrefixOfStringInTable_13,abcdefghijklmnopqr,11030
IsPrefixOfStringInTable_14,abcdefghijklmnopqr,10892
IsPrefixOfStringInTable_x64_1,abcdefghijklmnopqr,7526
IsPrefixOfStringInTable_x64_2,abcdefghijklmnopqr,8026
IsPrefixOfStringInTable_x64_3,abcdefghijklmnopqr,36194
IsPrefixOfStringInTable_x64_4,abcdefghijklmnopqr,7046
IsPrefixOfStringInTable_x64_5,abcdefghijklmnopqr,7030
IntegerDivision_x64_1,abcdefghijklmnopqr,95340
IsPrefixOfCStrInArray,abcdefghijklmnopqrstuvw,63986
IsPrefixOfStringInTable_1,abcdefghijklmnopqrstuvw,88946
IsPrefixOfStringInTable_2,abcdefghijklmnopqrstuvw,18056
IsPrefixOfStringInTable_3,abcdefghijklmnopqrstuvw,17062
IsPrefixOfStringInTable_4,abcdefghijklmnopqrstuvw,19058
IsPrefixOfStringInTable_5,abcdefghijklmnopqrstuvw,40510
IsPrefixOfStringInTable_6,abcdefghijklmnopqrstuvw,15094
IsPrefixOfStringInTable_7,abcdefghijklmnopqrstuvw,14330
IsPrefixOfStringInTable_8,abcdefghijklmnopqrstuvw,14134
IsPrefixOfStringInTable_9,abcdefghijklmnopqrstuvw,11046
IsPrefixOfStringInTable_10,abcdefghijklmnopqrstuvw,11528
IsPrefixOfStringInTable_11,abcdefghijklmnopqrstuvw,11048
IsPrefixOfStringInTable_12,abcdefghijklmnopqrstuvw,11110
IsPrefixOfStringInTable_13,abcdefghijklmnopqrstuvw,11028
IsPrefixOfStringInTable_14,abcdefghijklmnopqrstuvw,10904
IsPrefixOfStringInTable_x64_1,abcdefghijklmnopqrstuvw,7526
IsPrefixOfStringInTable_x64_2,abcdefghijklmnopqrstuvw,8026
IsPrefixOfStringInTable_x64_3,abcdefghijklmnopqrstuvw,36190
IsPrefixOfStringInTable_x64_4,abcdefghijklmnopqrstuvw,7048
IsPrefixOfStringInTable_x64_5,abcdefghijklmnopqrstuvw,7030
IntegerDivision_x64_1,abcdefghijklmnopqrstuvw,95320
